date,LotNumber,predicted_peak_usage,has_football_game,is_finals,is_commencement
2025-05-01,70,105.0,False,False,False
2025-05-01,10,103.0,False,False,False
2025-05-05,70,105.0,False,False,False
2025-05-05,10,103.0,False,False,False
2025-05-06,70,105.0,False,False,False
2025-05-06,10,104.0,False,False,False
2025-05-07,70,105.0,False,False,False
2025-05-07,10,103.0,False,False,False
2025-05-08,70,104.0,False,False,False
2025-05-08,10,103.0,False,False,False
2025-05-12,70,104.0,False,True,False
2025-05-12,10,103.0,False,True,False
2025-05-12,40,100.0,False,True,False
2025-05-12,11,90.0,False,True,False
2025-05-12,50,84.0,False,True,False
2025-05-12,80,83.0,False,True,False
2025-05-12,30,74.0,False,True,False
2025-05-12,6,50.0,False,True,False
2025-05-12,13,47.0,False,True,False
2025-05-12,3,44.0,False,True,False
2025-05-13,70,105.0,False,False,False
2025-05-13,10,104.0,False,False,False
2025-05-14,70,104.0,False,False,False
2025-05-14,10,103.0,False,False,False
2025-05-16,11,92.0,False,True,False
2025-05-16,70,85.0,False,True,False
2025-05-16,50,83.0,False,True,False
2025-05-16,40,81.0,False,True,False
2025-05-16,10,78.0,False,True,False
2025-05-16,80,75.0,False,True,False
2025-05-16,30,75.0,False,True,False
2025-05-16,13,49.0,False,True,False
2025-05-16,6,48.0,False,True,False
2025-05-16,3,37.0,False,True,False
2025-05-19,70,104.0,False,False,False
2025-05-19,10,103.0,False,False,False
2025-05-20,70,105.0,False,False,False
2025-05-20,10,103.0,False,False,False
2025-05-20,40,102.0,False,False,False
2025-05-21,70,104.0,False,False,False
2025-05-21,10,102.0,False,False,False
2025-05-22,70,103.0,False,False,False
2025-05-26,70,105.0,False,False,False
2025-05-26,10,102.0,False,False,False
2025-05-27,70,104.0,False,False,False
2025-05-27,10,103.0,False,False,False
2025-05-27,40,102.0,False,False,False
2025-05-28,70,104.0,False,False,False
2025-05-28,10,102.0,False,False,False
2025-05-28,40,102.0,False,False,False
2025-05-29,70,103.0,False,False,False
2025-05-29,10,102.0,False,False,False
2025-06-02,70,104.0,False,False,False
2025-06-03,70,104.0,False,False,False
2025-06-03,40,102.0,False,False,False
2025-06-04,70,104.0,False,False,False
2025-06-04,40,102.0,False,False,False
2025-06-05,70,103.0,False,False,False
2025-06-09,70,107.0,False,False,False
2025-06-09,40,103.0,False,False,False
2025-06-10,70,106.0,False,False,False
2025-06-10,40,103.0,False,False,False
2025-06-11,70,106.0,False,False,False
2025-06-11,40,103.0,False,False,False
2025-06-12,70,106.0,False,False,False
2025-06-12,40,103.0,False,False,False
2025-06-16,70,107.0,False,False,False
2025-06-16,40,103.0,False,False,False
2025-06-17,70,107.0,False,False,False
2025-06-17,40,104.0,False,False,False
2025-06-18,70,107.0,False,False,False
2025-06-18,40,103.0,False,False,False
2025-06-19,70,106.0,False,False,False
2025-06-19,40,103.0,False,False,False
2025-06-23,70,107.0,False,False,False
2025-06-23,40,103.0,False,False,False
2025-06-24,70,107.0,False,False,False
2025-06-24,40,104.0,False,False,False
2025-06-25,70,107.0,False,False,False
2025-06-25,40,103.0,False,False,False
2025-06-26,70,106.0,False,False,False
2025-06-26,40,103.0,False,False,False
2025-06-30,70,109.0,False,False,False
2025-06-30,40,105.0,False,False,False
2025-07-01,70,108.0,False,False,False
2025-07-01,40,105.0,False,False,False
2025-07-02,70,108.0,False,False,False
2025-07-02,40,105.0,False,False,False
2025-07-03,70,107.0,False,False,False
2025-07-03,40,104.0,False,False,False
2025-07-07,70,109.0,False,False,False
2025-07-07,40,105.0,False,False,False
2025-07-08,70,108.0,False,False,False
2025-07-08,40,105.0,False,False,False
2025-07-09,70,108.0,False,False,False
2025-07-09,40,105.0,False,False,False
2025-07-10,70,107.0,False,False,False
2025-07-10,40,104.0,False,False,False
2025-07-14,70,109.0,False,False,False
2025-07-14,40,105.0,False,False,False
2025-07-15,70,108.0,False,False,False
2025-07-15,40,105.0,False,False,False
2025-07-16,70,108.0,False,False,False
2025-07-16,40,105.0,False,False,False
2025-07-17,70,107.0,False,False,False
2025-07-17,40,104.0,False,False,False
2025-07-21,70,109.0,False,False,False
2025-07-21,40,105.0,False,False,False
2025-07-22,70,108.0,False,False,False
2025-07-22,40,105.0,False,False,False
2025-07-23,70,108.0,False,False,False
2025-07-23,40,105.0,False,False,False
2025-07-24,70,107.0,False,False,False
2025-07-24,40,104.0,False,False,False
2025-07-28,70,106.0,False,False,False
2025-07-28,40,103.0,False,False,False
2025-07-29,70,106.0,False,False,False
2025-07-29,40,104.0,False,False,False
2025-07-30,70,106.0,False,False,False
2025-07-30,40,103.0,False,False,False
2025-07-31,70,105.0,False,False,False
2025-07-31,40,103.0,False,False,False
2025-08-04,70,106.0,False,False,False
2025-08-04,40,103.0,False,False,False
2025-08-05,70,106.0,False,False,False
2025-08-05,40,104.0,False,False,False
2025-08-06,70,106.0,False,False,False
2025-08-06,40,103.0,False,False,False
2025-08-07,70,106.0,False,False,False
2025-08-07,40,103.0,False,False,False
2025-08-11,70,106.0,False,False,False
2025-08-11,40,102.0,False,False,False
2025-08-12,70,107.0,False,False,False
2025-08-12,40,103.0,False,False,False
2025-08-13,70,106.0,False,False,False
2025-08-13,40,103.0,False,False,False
2025-08-14,70,106.0,False,False,False
2025-08-14,40,103.0,False,False,False
2025-08-18,70,106.0,False,False,False
2025-08-18,40,102.0,False,False,False
2025-08-19,70,107.0,False,False,False
2025-08-19,40,103.0,False,False,False
2025-08-20,70,106.0,False,False,False
2025-08-20,40,103.0,False,False,False
2025-08-21,70,106.0,False,False,False
2025-08-21,40,103.0,False,False,False
2025-08-25,70,106.0,False,False,False
2025-08-25,40,102.0,False,False,False
2025-08-26,70,107.0,False,False,False
2025-08-26,40,103.0,False,False,False
2025-08-27,70,106.0,False,False,False
2025-08-27,40,103.0,False,False,False
2025-08-28,70,106.0,False,False,False
2025-08-28,40,103.0,False,False,False
2025-09-01,70,106.0,False,False,False
2025-09-01,40,102.0,False,False,False
2025-09-02,70,107.0,False,False,False
2025-09-02,40,103.0,False,False,False
2025-09-03,70,106.0,False,False,False
2025-09-03,40,103.0,False,False,False
2025-09-04,70,106.0,False,False,False
2025-09-04,40,103.0,False,False,False
2025-09-08,70,106.0,False,False,False
2025-09-08,40,102.0,False,False,False
2025-09-09,70,107.0,False,False,False
2025-09-09,40,103.0,False,False,False
2025-09-10,70,106.0,False,False,False
2025-09-10,40,103.0,False,False,False
2025-09-11,70,106.0,False,False,False
2025-09-11,40,103.0,False,False,False
2025-09-15,70,106.0,False,False,False
2025-09-15,40,102.0,False,False,False
2025-09-16,70,107.0,False,False,False
2025-09-16,40,103.0,False,False,False
2025-09-17,70,106.0,False,False,False
2025-09-17,40,103.0,False,False,False
2025-09-18,70,106.0,False,False,False
2025-09-18,40,103.0,False,False,False
2025-09-22,70,106.0,False,False,False
2025-09-22,40,102.0,False,False,False
2025-09-23,70,107.0,False,False,False
2025-09-23,40,103.0,False,False,False
2025-09-24,70,106.0,False,False,False
2025-09-24,40,103.0,False,False,False
2025-09-25,70,106.0,False,False,False
2025-09-25,40,103.0,False,False,False
2025-09-29,70,106.0,False,False,False
2025-09-29,40,102.0,False,False,False
2025-09-30,70,107.0,False,False,False
2025-09-30,40,103.0,False,False,False
2025-10-01,70,106.0,False,False,False
2025-10-01,40,103.0,False,False,False
2025-10-02,70,106.0,False,False,False
2025-10-02,40,103.0,False,False,False
2025-10-06,70,102.0,False,False,False
2025-10-07,70,102.0,False,False,False
2025-10-08,70,102.0,False,False,False
2025-10-13,70,102.0,False,False,False
2025-10-14,70,102.0,False,False,False
2025-10-15,70,102.0,False,False,False
2025-10-20,70,102.0,False,False,False
2025-10-21,70,102.0,False,False,False
2025-10-22,70,102.0,False,False,False
2025-10-27,70,102.0,False,False,False
2025-10-28,70,102.0,False,False,False
2025-10-29,70,102.0,False,False,False
2025-11-03,70,102.0,False,False,False
2025-11-04,70,105.0,False,False,False
2025-11-05,70,105.0,False,False,False
2025-11-06,70,104.0,False,False,False
2025-11-10,70,105.0,False,False,False
2025-11-11,70,105.0,False,False,False
2025-11-12,70,107.0,False,False,False
2025-11-13,70,106.0,False,False,False
2025-11-17,70,108.0,False,False,False
2025-11-18,70,108.0,False,False,False
2025-11-19,70,108.0,False,False,False
2025-11-20,70,108.0,False,False,False
2025-11-24,70,108.0,False,False,False
2025-11-25,70,108.0,False,False,False
2025-11-26,70,108.0,False,False,False
2025-11-27,70,108.0,False,False,False
2025-12-01,70,110.0,False,False,False
2025-12-02,70,110.0,False,False,False
2025-12-03,70,109.0,False,False,False
2025-12-04,70,109.0,False,False,False
2025-12-08,70,109.0,False,False,False
2025-12-09,70,108.0,False,False,False
2025-12-10,70,108.0,False,False,False
2025-12-11,70,107.0,False,False,False
2025-12-15,70,110.0,False,True,False
2025-12-15,40,100.0,False,True,False
2025-12-15,80,99.0,False,True,False
2025-12-15,10,97.0,False,True,False
2025-12-15,11,96.0,False,True,False
2025-12-15,50,93.0,False,True,False
2025-12-15,30,76.0,False,True,False
2025-12-15,6,47.0,False,True,False
2025-12-15,13,47.0,False,True,False
2025-12-15,3,36.0,False,True,False
2025-12-16,70,110.0,False,False,False
2025-12-17,70,109.0,False,False,False
2025-12-18,70,109.0,False,False,True
2025-12-19,70,97.0,False,True,False
2025-12-19,11,96.0,False,True,False
2025-12-19,50,92.0,False,True,False
2025-12-19,80,91.0,False,True,False
2025-12-19,10,87.0,False,True,False
2025-12-19,40,84.0,False,True,False
2025-12-19,30,76.0,False,True,False
2025-12-19,13,48.0,False,True,False
2025-12-19,6,44.0,False,True,False
2025-12-19,3,26.0,False,True,False
2025-12-22,70,110.0,False,False,False
2025-12-23,80,111.0,False,False,False
2025-12-23,70,110.0,False,False,False
2025-12-24,80,111.0,False,False,False
2025-12-24,70,109.0,False,False,False
2025-12-25,80,110.0,False,False,False
2025-12-25,70,109.0,False,False,False
2025-12-26,80,102.0,False,False,False
2025-12-29,70,113.0,False,False,False
2025-12-29,80,113.0,False,False,False
2025-12-29,40,102.0,False,False,False
2025-12-30,80,113.0,False,False,False
2025-12-30,70,112.0,False,False,False
2025-12-30,40,103.0,False,False,False
2025-12-31,80,113.0,False,False,False
2025-12-31,70,112.0,False,False,False
2025-12-31,40,102.0,False,False,False
